;address;final_balance;n_tx;total_received;total_sent
0;bc1q3huuvtw03pnn6d3ecp6ujfanfugcyr243uxjgf;15158249;114;23518166;8359917
1;3QpNsnamCopc4fTWEE9gWUyNYV7GxiGH8n;323414;5;1533236;1209822
2;bc1qpu3wqxdeaadhmj6lvqm86cfg530hqtqwx08c4n;43652579;131;122392956;78740377
3;bc1qkjag7v0xtu74sp50mz0a0c39wn3g5ncyuezjm6;509441;11;2426925;1917484
4;bc1qgxvt5smy0vfd0kwyvelkdyf5k9cclrm78pzhs3;519998;1;519998;0
5;1J3YLrnVpSmzSJHYhPJAyiDBbFB9LUNztN;425008;13;766450;341442
6;bc1q6m8ch5xwm8x7u6cy0uay00zy3nrt66twhwalac;2991387;6;2991387;0
7;1EMLwt7GgnGcC3XA6sP7qWpEiLXrDchU6u;95298;14;1192840;1097542
8;1FBv6EifiBnqELXW2XLqxGZWAzr3LaJwVd;91692;46;3433026;3341334
9;3CFCW2f1ddUmj8djjvjPXRwptuZ6BWnbGN;7854384;341;197506963;189652579
10;bc1quujyvumskdp5agt6c26c8f02yqwrfa4ctgdkpu;506027;11;3227521;2721494
11;bc1qv8ec8uyz40npq0jlzn62p6v35kw5rdvmkyp8ge;484591;11;3432631;2948040
12;39jkDz99EuTJHQe5r495hPU5sWAsg8zgNk;18478124;832;323228790;304750666
13;bc1qaw2zx3fjxtfph7mdre57353h59x6qldhagcnfd;3129848;10;4706964;1577116
14;1Ezf39r4DEUMPihiwUo8FcBkBnKYwgydpS;70540;19;6122300;6051760
15;3DAcuAS1Z3W1uVpb9WHGVwTyjY2rmbgJ8a;502224;41;5099472;4597248
16;bc1qzn93vvrurfmu0x96gmhsvv5wv6mjmfsdl208zf;101215;26;1402191;1300976
17;bc1qa49pqxq0pqf35cec3tw0lwxrdtsfha0tn568sz;1101572;411;82133730;81032158
18;bc1qqknj45g3mpetgjlca0ppqrhjftlx6flpjmfdhq;13585704;16;13585704;0
19;19W3AqZk1FemmHb94iyhHJYadbb3VR9scx;106665;462;30488137;30381472
