;15m;last;buy;sell;symbol
0;55490315.29;55490315.29;55490315.29;55490315.29;ARS
1;99398.66;99398.66;99398.66;99398.66;AUD
2;331848.84;331848.84;331848.84;331848.84;BRL
3;87718.17;87718.17;87718.17;87718.17;CAD
4;58066.5;58066.5;58066.5;58066.5;CHF
5;60737295.35;60737295.35;60737295.35;60737295.35;CLP
6;461712.16;461712.16;461712.16;461712.16;CNY
7;1511415.71;1511415.71;1511415.71;1511415.71;CZK
8;446533.91;446533.91;446533.91;446533.91;DKK
9;59912.67;59912.67;59912.67;59912.67;EUR
10;51559.69;51559.69;51559.69;51559.69;GBP
11;499437.77;499437.77;499437.77;499437.77;HKD
12;122743.77;122743.77;122743.77;122743.77;HRK
13;23591975.06;23591975.06;23591975.06;23591975.06;HUF
14;5316877.24;5316877.24;5316877.24;5316877.24;INR
15;3478861.38;3478861.38;3478861.38;3478861.38;ISK
16;9875916.87;9875916.87;9875916.87;9875916.87;JPY
17;87657264.24;87657264.24;87657264.24;87657264.24;KRW
18;108312.12;108312.12;108312.12;108312.12;NZD
19;257944.16;257944.16;257944.16;257944.16;PLN
20;97554.35;97554.35;97554.35;97554.35;RON
21;5988394.79;5988394.79;5988394.79;5988394.79;RUB
22;696008.86;696008.86;696008.86;696008.86;SEK
23;86815.45;86815.45;86815.45;86815.45;SGD
24;2346265.13;2346265.13;2346265.13;2346265.13;THB
25;2071741.86;2071741.86;2071741.86;2071741.86;TRY
26;2074956.07;2074956.07;2074956.07;2074956.07;TWD
27;63774.16;63774.16;63774.16;63774.16;USD
