;out_id;tx_index;n;type;spent;value;addr
0;0;2550502119100203;0;0;False;761084464;1HeXKmczG6MdYi6jfs3RYSyBayRBETcFh1
1;1;2550502119100203;1;0;False;0;
2;2;2550502119100203;2;0;False;0;
3;3;4625162177552666;0;0;False;1092;bc1phhvqk9mra3kvzfx90ryu60uny8m9rpsn2y3mjg0zqckw57cznumsjmx9fr
4;4;4625162177552666;1;0;False;0;
5;5;944252477644004;0;0;False;756280;bc1qj30egmuvzreewz7z6vx424sa9vm3ljmnrdex6u
6;6;944252477644004;1;0;False;43696;1MtUVtg5gd9o4u5v5ZEMNRGdkXmTWVJxpG
7;7;944252477644004;2;0;False;13446;12k2Cw8HqrR46pwQ5bMRM1bib1xhTmy2vm
8;8;944252477644004;3;0;False;11209;bc1qkp8l9nk7q6m5mvu05kkax493rqp8kgxe0hngxx
9;9;944252477644004;4;0;False;11037;19U7DuyrFBp7aizYnEP1CZ8Ub6MFCyytz5
10;10;944252477644004;5;0;False;11037;1CK3GFbHYuqaKPqdb6Qb72dWpsH24viYB6
11;11;944252477644004;6;0;False;10338;3F98xK2gvVVopz7cG1vTCe5uuabRNfwu9R
12;12;944252477644004;7;0;False;10118;1EcRxhKuRottAZdKohoeiHkd2fQJja9tJs
13;13;6026810733955871;0;0;False;501806;184iLVBExH2dvSpisfvStXacU6U96gGZuv
14;14;6026810733955871;1;0;False;501597;1JqhBoBfofvxKxLxbSiekZifUfLsP9B1Li
15;15;6026810733955871;2;0;False;501199;bc1qkevdwfkk3muqajt58r05jumaq4wezcr2m6e7he
16;16;6026810733955871;3;0;False;484591;bc1qv8ec8uyz40npq0jlzn62p6v35kw5rdvmkyp8ge
17;17;6026810733955871;4;0;False;481659;bc1q494r0rcz4zjxn2xlzjg7lf89a7lcahd9062g0s
18;18;6026810733955871;5;0;False;471908;1JvpSk5bUfPfCmryjoJU3zGUav8pFoJRK
19;19;6026810733955871;6;0;False;471872;1CGyDBngVrksfRm4Kp3VKxMoVuA4pi5dLe
20;20;6026810733955871;7;0;False;470253;bc1qhd8nf7a0lz2r8mafnccyqy4qmrhqm78txk0qfc
21;21;6026810733955871;8;0;False;425191;bc1q5hryapkuwspsjyurekrul488236yc2uugax045
22;22;6026810733955871;9;0;False;425008;1J3YLrnVpSmzSJHYhPJAyiDBbFB9LUNztN
23;23;6026810733955871;10;0;False;398887;1BR9UWLdxj4mt5uNed79Uf8AEhV3TMcCnE
24;24;6026810733955871;11;0;False;396011;bc1q9xm0q7v099758yu9u6qjvl2d78s0t34w92erc3
25;25;6026810733955871;12;0;False;380068;bc1q4cy25rrdusehpjwc644ep94lt5md9a9lxau74e
26;26;6026810733955871;13;0;False;378870;34JfNwXKy9AaqzLUfacaUa1GVsE2SytdKC
27;27;6026810733955871;14;0;False;377868;1LMxKGSqCKra4P9ze9eunGHGrnaCHfdGTf
28;28;6026810733955871;15;0;False;371302;bc1qqhzj7kzcaxskv5vxnnftzks4klwlgcxhs55dc9
29;29;6026810733955871;16;0;False;367771;3JtGe3NBqtRDRoTFKBd3oC6pULxwBf9kMg
30;30;6026810733955871;17;0;False;365566;32fXz7MpHcFnYrfgZpe5kc6wwNPiPsiT1C
31;31;6026810733955871;18;0;False;346732;bc1qh2g42vclpp9e6yy32r8larj9khysdwq4np5mgm
32;32;6026810733955871;19;0;False;343837;bc1qms86mtavk404r6ahhpl5zgc4tfuyjvnfvlsmes
33;33;6026810733955871;20;0;False;343543;bc1qssqts9vjnvh7h9u0ctwhqag9earzx0eh7a5cet
34;34;6026810733955871;21;0;False;335012;3GgvXNzs7qj9q3e3ASAG7XBLmodb45G3Vv
35;35;6026810733955871;22;0;False;334545;bc1qkjag7v0xtu74sp50mz0a0c39wn3g5ncyuezjm6
36;36;6026810733955871;23;0;False;332251;35mVhF3BYPttnay6UNmbXkYpWDRMS3SxpT
37;37;6026810733955871;24;0;False;327937;bc1q94crz0q4dl4xmnl609ukvq3lrt5kyulepu8vew
38;38;6026810733955871;25;0;False;323414;3QpNsnamCopc4fTWEE9gWUyNYV7GxiGH8n
39;39;6026810733955871;26;0;False;472698928;bc1ql4lgmwseh2tmnwx8rxac5c2dathfdzap3ejgt2
40;40;6026810733955871;27;0;False;318738;18ryCBeB3YAeYvGHYfXGfskWQfTT9aUX6q
41;41;6026810733955871;28;0;False;312546;bc1qpu3wqxdeaadhmj6lvqm86cfg530hqtqwx08c4n
42;42;6026810733955871;29;0;False;305970;1BsYx575Dc67y1t1XEpiiHLgj2bE3yFvsZ
43;43;6026810733955871;30;0;False;301508;bc1q8m8464eshw2ucdexk0q2nl8f005axqklpj97fd
44;44;6026810733955871;31;0;False;299394;bc1pw6s5jqt4m5s8t0wg86xtfphmu624lcfjnarm6398ne8txv27qw3q59ajne
45;45;6026810733955871;32;0;False;287870;bc1qwn857sskhku63n85kpum35cur2zz67mphsxuv0
46;46;6026810733955871;33;0;False;287049;13TTQvnYuKT3JHMDk4BTWptirsYxtjigFx
47;47;6026810733955871;34;0;False;281463;1J7Ec4SC7kHEXDD9zswBDUQ7fHc4RwtypA
48;48;6026810733955871;35;0;False;265002;bc1qr6pauy5hq07dlfcc6rcpr35u8tkl7qrk3j89fj
49;49;6026810733955871;36;0;False;253965;39Xad3HVZekZcQd8KtEL5HoyNr3b2WbECu
50;50;6026810733955871;37;0;False;251706;bc1qwxpdgvcgdnejdz5ht2csxr0f0gd2vg6zy6f759
51;51;6026810733955871;38;0;False;251705;bc1qa49pqxq0pqf35cec3tw0lwxrdtsfha0tn568sz
52;52;6026810733955871;39;0;False;235723;bc1qt97xn5qq9rmx8ldluap9vxmv7w8hcm59d8mrtn
53;53;6026810733955871;40;0;False;232611;bc1q4gj80ke5u0vjs5dqw7ew84q3a4hnj9xsl2epr3
54;54;6026810733955871;41;0;False;212116;bc1qj8w4g33x2f2mn9z5wxfy9nf73h8cwwav8ma7uv
55;55;6026810733955871;42;0;False;211628;bc1qlp2ncdajtlz77havq0efrczc8a9wuqxff488m0
56;56;6026810733955871;43;0;False;209208;3ER3vCXubFZFhu8yjrjF1TTQYr69RqZXvM
57;57;6026810733955871;44;0;False;199089;1Put7N6nWFuMhb4nYKqCn84GKdb1BDDGwS
58;58;6026810733955871;45;0;False;197870;3MX7yDhLxyWMfgaGxk4JrMDcwFKP8cMYBv
59;59;6026810733955871;46;0;False;193824;bc1q3huuvtw03pnn6d3ecp6ujfanfugcyr243uxjgf
60;60;6026810733955871;47;0;False;193641;bc1qcqurn7lxr4tghd5zhn0vz4d075z2qnkawhk8y4
