,px,qty,num,symbol1,symbol2
0,61567.6,0.01118041,1,BTC,USD
1,60000.1,0.908,1,BTC,USD
2,60000.0,0.02490068,1,BTC,USD
3,59676.21,1.02939273,1,BTC,USD
4,59578.0,0.0005,1,BTC,USD
5,59503.0,0.00118,1,BTC,USD
6,59000.0,0.01688499,1,BTC,USD
7,58656.0,0.00212625,1,BTC,USD
8,58560.0,0.03003637,2,BTC,USD
9,55250.0,0.00114839,1,BTC,USD
10,55000.0,0.10349834,5,BTC,USD
11,54592.0,0.04544661,1,BTC,USD
12,54500.0,0.00093114,1,BTC,USD
13,54000.0,0.02110457,2,BTC,USD
14,53000.0,0.0019,1,BTC,USD
15,52000.0,0.07,2,BTC,USD
16,51520.0,0.00173662,1,BTC,USD
17,51000.0,0.04264822,2,BTC,USD
18,50220.0,0.00051228,1,BTC,USD
19,50100.2,0.0023978,1,BTC,USD
20,50000.0,0.03066065,2,BTC,USD
21,49000.0,0.00106,1,BTC,USD
22,48800.0,0.014327,1,BTC,USD
23,48500.0,0.23117989,1,BTC,USD
24,47245.73,0.00355411,1,BTC,USD
25,47000.0,0.0005,1,BTC,USD
26,46800.0,0.005,1,BTC,USD
27,46559.0,0.0005095,1,BTC,USD
28,45703.0,0.00106,1,BTC,USD
29,45000.0,0.02,1,BTC,USD
30,44200.0,0.00106,1,BTC,USD
31,43257.0,0.000507,1,BTC,USD
32,43000.0,0.09,1,BTC,USD
33,42080.0,0.00236,1,BTC,USD
34,41117.0,0.000507,1,BTC,USD
35,40000.0,0.0035,2,BTC,USD
36,37899.0,0.000505,1,BTC,USD
37,37455.0,0.000519,1,BTC,USD
38,36771.0,0.000505,1,BTC,USD
39,36503.0,0.00109,1,BTC,USD
40,36229.0,0.0005038,1,BTC,USD
41,35000.0,0.00286,1,BTC,USD
42,34254.0,0.0013,1,BTC,USD
43,32500.0,0.003065,1,BTC,USD
44,30000.0,0.0035,1,BTC,USD
45,28000.0,4.49271085,1,BTC,USD
46,2000.15,0.0005,1,BTC,USD
47,90.0,0.01071249,1,BTC,USD
48,61.0,0.6342877,1,BTC,USD
49,60.0,0.1,1,BTC,USD
50,11.0,0.25,1,BTC,USD
51,7.0,0.5,1,BTC,USD
52,2.5,0.908,1,BTC,USD
53,2.0,2.0,1,BTC,USD
