;price_24h;volume_24h;last_trade_price;symbol1;symbol2
0;0.05244;0.0;0.05244;TFUEL;USDC
1;0.10308;0.0;0.1029;XLM;EUR
2;1.488e-05;0.0;1.488e-05;ALGO;BTC
3;0.137;0.0;0.137;EFI;USDT
4;0.96;0.0;0.95;XTZ;USDT
5;0.0;0.0;5.51e-06;XLM;BTC
6;0.8882;0.0;0.8882;USDC;GBP
7;0.2322;0.0;0.2322;OGN;USDT
8;26.28;0.55919174;26.28;CLOUT;USD
9;0.331;0.0;0.324;STX;USDC
10;0.2;0.0;0.19;CEUR;USDT
11;0.0;0.0;0.0;EOS;USD
12;1.0004;0.0;1.0004;PAX;USD
13;473.4;2.22685739;482.26;BCH;USD
14;2.9;0.0;2.9;DAI;EUR
15;0.81;0.0;0.81;USDT;GBP
16;0.4036;1.494;0.4036;CRV;USDT
17;13.311;3.49064237;13.311;LINK;USDT
18;0.1026;13.19422864;0.1017;CHZ;USD
19;1.0;0.0;1.0;APE;USD
20;1.7;99.95;1.7;STX;USD
21;0.997;0.0;0.997;MATIC;USDT
22;174.52;0.0;174.52;WDGLD;USD
23;3066.99;2.22943811;3060.72;ETH;USD
24;3.77;0.0;3.77;SNX;USD
25;0.0;0.0;0.4909;LEND;USD
26;0.0;0.0;0.06981;XLM;PAX
27;0.0;0.0;0.22;XRP;EUR
28;0.09109;0.0;0.09109;XLM;USD
29;0.30129;0.0;0.30144;BAT;USDC
30;7.033;0.0;7.055;LINK;USDC
31;0.009727;0.0;0.009534;DGLD;BTC
32;495.0;0.53982448;495.0;BCH;EUR
33;0.006;0.0;0.006;BCH;BTC
34;0.000302;0.0;0.000302;CLOUT;BTC
35;62239.73;0.79210321;63001.11;BTC;USD
36;0.0;0.0;0.582678;BCH;ETH
37;23950.9;0.0;23950.9;ETH;TRY
38;0.00013;0.0;0.00013;WLUNA;USD
39;2.0237;12.35649856;2.0237;THETA;USD
40;0.011;0.0;0.011;GALA;USD
41;490.0;0.0;490.0;CUSD;USDT
42;390682.0;0.0;390682.0;BTC;TRY
43;0.176;146.864284;0.1774;ALGO;USD
44;2856.92;2.78054229;2999.99;ETH;EUR
45;0.15186;208.5743231;0.15846;DOGE;USD
46;0.11561;0.0;0.11561;GRT;USD
47;1.88;91.5;1.49;STX;USDT
48;0.0;0.0;0.29;XRP;USD
49;0.0;0.0;0.00019195;XLM;ETH
50;0.0;0.0;0.0;USD;GBP
51;6903.0;0.0010053;6903.0;YFI;USD
52;0.0;0.0;6115.0;BTC;PAX
53;3.3229;0.0;3.3229;UMA;USDC
54;18996.89;0.0;19154.51;WBTC;USDC
55;1013.83;0.0;1013.18;MKR;USDT
56;5.5884;0.0;5.5884;NEAR;USD
57;0.9327;0.0;0.9327;CRV;USDC
58;0.10535;0.0;0.10096;TRX;USD
59;13.986;2.0;13.986;UNI;USDT
60;5.96;0.86615993;5.96;DOT;EUR
61;0.031;0.0;0.031;BAT;USDT
62;0.0;0.0;339.24;BCH;PAX
63;0.9996;0.0;0.9996;DAI;USDC
64;11.6;0.0;11.347;UNI;USD
