;price_24h;volume_24h;last_trade_price;symbol1;symbol2
0;0.05244;0.0;0.05244;TFUEL;USDC
1;0.10308;0.0;0.1029;XLM;EUR
2;1.488e-05;0.0;1.488e-05;ALGO;BTC
3;0.137;0.0;0.137;EFI;USDT
4;0.96;0.0;0.95;XTZ;USDT
5;0.0;0.0;5.51e-06;XLM;BTC
6;0.8882;0.0;0.8882;USDC;GBP
7;0.2322;0.0;0.2322;OGN;USDT
8;19.23;512.44470716;19.17;CLOUT;USD
9;0.331;0.0;0.324;STX;USDC
10;0.2;38.39355485;0.19;CEUR;USDT
11;0.0;0.0;0.0;EOS;USD
12;1.0004;0.0;1.0004;PAX;USD
13;473.4;2.13676943;469.06;BCH;USD
14;2.9;0.0;2.9;DAI;EUR
15;0.81;516.0768;0.81;USDT;GBP
16;0.4259;21.10711215;0.4036;CRV;USDT
17;13.311;3.49064237;13.311;LINK;USDT
18;0.1054;3137.87587964;0.1017;CHZ;USD
19;1.0;1.41916583;1.0;APE;USD
20;2.5;245.43194023;1.56;STX;USD
21;0.997;0.0;0.997;MATIC;USDT
22;174.52;0.0;174.52;WDGLD;USD
23;2991.08;10.07762236;3066.99;ETH;USD
24;3.77;1.09303385;3.77;SNX;USD
25;0.0;0.0;0.4909;LEND;USD
26;0.0;0.0;0.06981;XLM;PAX
27;0.0;0.0;0.22;XRP;EUR
28;0.09109;0.0;0.09109;XLM;USD
29;0.30129;0.0;0.30144;BAT;USDC
30;7.033;0.0;7.055;LINK;USDC
31;0.009727;0.0;0.009534;DGLD;BTC
32;545.0;0.05936509;545.0;BCH;EUR
33;0.006;0.0;0.006;BCH;BTC
34;0.000302;0.0;0.000302;CLOUT;BTC
35;62000.0;2.37543664;60806.64;BTC;USD
36;0.0;0.0;0.582678;BCH;ETH
37;23950.9;0.0;23950.9;ETH;TRY
38;0.00013;0.0;0.00013;WLUNA;USD
39;2.4102;4.84920702;2.071;THETA;USD
40;0.011;0.0;0.011;GALA;USD
41;490.0;0.0;490.0;CUSD;USDT
42;390682.0;0.0;390682.0;BTC;TRY
43;0.1676;34201.534238;0.1758;ALGO;USD
44;2812.09;6.89748391;2729.57;ETH;EUR
45;0.15638;0.0;0.15789;DOGE;USD
46;0.11561;0.0;0.11561;GRT;USD
47;2.899;194.71527025;1.49;STX;USDT
48;0.0;0.0;0.29;XRP;USD
49;0.0;0.0;0.00019195;XLM;ETH
50;0.0;0.0;0.0;USD;GBP
51;9069.93;0.0020088;6662.92;YFI;USD
52;0.0;0.0;6115.0;BTC;PAX
53;3.3229;0.0;3.3229;UMA;USDC
54;18996.89;0.0;19154.51;WBTC;USDC
55;1013.83;0.0;1013.18;MKR;USDT
56;5.5884;60.2196404;5.5884;NEAR;USD
57;0.9327;0.0;0.9327;CRV;USDC
58;0.11074;617.609848;0.10096;TRX;USD
59;13.986;2.0;13.986;UNI;USDT
60;5.96;0.86615993;5.96;DOT;EUR
61;0.031;0.0;0.031;BAT;USDT
62;0.0;0.0;339.24;BCH;PAX
63;0.9996;0.0;0.9996;DAI;USDC
64;11.6;0.0;11.347;UNI;USD
