;hash;tx_index;time;fee;weight;vin_sz;vout_sz
0;9c1fb2beeffb56f38917867fc6726aaed2eafac7d5cc51e8eb5d797666587d48;2550502119100203;1713571854;0;1072;1;3
1;95bfa45afda983f3d6b9893a7e9200c12c4015bcdaffc3b933d508f9e47b7483;4625162177552666;1713571854;210100000;762;1;2
2;369bb55fe04fa333a53ab2d4071f255568f46899cb6d218a1c22e7104c57d61a;944252477644004;1713518038;12874;1369;1;8
3;1535c7f76f92829d1add6058c131ac336da9700db168a5987ef95868c7d14aab;6026810733955871;1713517980;64593;6881;1;51
4;d90840c91c3639b7e414570df40dd6eb9060ad153d14a7989b35df7eec3fa25a;3188892917292006;1713517979;64743;6897;1;51
5;2ac8339d08f6f1eb65b63c2d10a4459e5288a720c699d39cdf16e24d4bbefd5b;3236652078709826;1713518000;66357;7069;1;51
6;476ce8d7770149ebc0825ce056ef343b60cc183c01cc9bf4c480ee74e8ac45cd;7222372395294160;1713518024;65644;6993;1;51
7;9b9e965907234790615c4f8f42c4eaf24db23e31c174e29b59d8aca1f5f17dc5;6948631071700379;1713517931;68384;7288;1;51
8;f47455f86b208d5af173edb4b5c6f96d4af9422ba1b88722d2d9467631301524;1269549486754011;1713571854;2199600;933;1;4
9;299acc8e37090f72fadfa8244d7153ae25185c2cd315dd43912161a0ff3cabb2;6286353041198116;1713571854;1368000;680;1;3
10;b738ed77a259c8a5fbecd748de8622d9d9234b6acc60783276f67817edccafce;7272142486040350;1713571854;56835000;30309;1;1
11;fc2f5026fac45ca6a865342d4bd0997197030c0d0a4717152a0c50c4a5e87287;4765683174377985;1713571854;3030826;1983;1;3
12;3886cd29623b6dfc21706d7aed974b5bc7ec3dbf40a2053e953382fafdba090e;493918550446150;1713571854;990000;738;2;2
13;6f3e27e66b641c4d95af1e83b561662c9d6b9517a7fe7e125d1ac3f4d2334c74;4091860345591907;1713571854;990000;738;2;2
14;9ab62e340fddeb64247a659781f8dae7a8acb87b28cf182a9ae84b9952d0fd8f;5066249106303357;1713571854;2090000;1658;6;2
15;762c9b96e7ebb1bd542d11f87664946c229f8414fd6ab6d039d48bf5c3d217df;7849389225587066;1713571854;2090000;1658;6;2
16;3887a2bee481430377cb0096c5f5e6b020207ad66b91d7713fb29dd972ee82f1;8497428753494966;1713571854;855000;680;1;3
17;2df9104478c085749c4e2baa548de0c3cf4e46d646365fff85ada32db380001c;985231513728117;1713571854;1052520;837;1;3
